"guideline","version","file_desc","type","host","method","site","mo","rank_index","ab","disk_dose","breakpoint_S","breakpoint_R","note","sheet"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Ampicillin iv","10 mcg","14","14","[A] Ignore growth that may appear as a thin inner zone on some batches of Mueller-Hinton agars. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Ampicillin oral (uncomplicated UTI only)",NA,"8","8","[1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Ampicillin oral (uncomplicated UTI only)","10 mcg","14","14","[A] Ignore growth that may appear as a thin inner zone on some batches of Mueller-Hinton agars. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Ampicillin-sulbactam iv",NA,"8","8","[2] For susceptibility testing purposes, the concentration of sulbactam is fixed at 4 mg/L. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Ampicillin-sulbactam iv","10/10 mcg","14","14","[A] Ignore growth that may appear as a thin inner zone on some batches of Mueller-Hinton agars. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Ampicillin-sulbactam oral (uncomplicated UTI only)",NA,"8","8","[2] For susceptibility testing purposes, the concentration of sulbactam is fixed at 4 mg/L. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Ampicillin-sulbactam oral (uncomplicated UTI only)","10/10 mcg","14","14","[A] Ignore growth that may appear as a thin inner zone on some batches of Mueller-Hinton agars. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Amoxicillin iv",NA,"8","8","[1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Amoxicillin iv","/ mcg","Note","Note","[B] Susceptibility inferred from ampicillin (iv or oral). | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Amoxicillin oral (infections originating from the urinary tract)",NA,"0.001","8","[1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Amoxicillin oral (infections originating from the urinary tract)","/ mcg","Note","Note","[C] Isolates susceptible to ampicillin (iv or oral) can be reported ""susceptible, increased exposure” (I) to ""amoxicillin oral (infections originating from the urinary tract)"". Isolates resistant to ampicillin (iv or oral) can be reported resistant to ""amoxicillin oral (infections originating from the urinary tract)"". | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Amoxicillin oral (uncomplicated UTI only)",NA,"8","8","[1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Amoxicillin oral (uncomplicated UTI only)","/ mcg","Note","Note","[B] Susceptibility inferred from ampicillin (iv or oral). | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Amoxicillin oral (other indications)",NA,"0.001","8","[3] For information on how to use breakpoints in brackets, see https://www.eucast.org/eucastguidancedocuments/. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Amoxicillin oral (other indications)","/ mcg","Note","Note","[D] For information on how to use breakpoints in brackets, see https://www.eucast.org/eucastguidancedocuments/. | [E] Isolates susceptible to ampicillin are without phenotypically detectable resistance mechanisms and ""amoxicillin oral (other indications)"" can be used in high exposure in combination therapy (see Note 3/D). Isolates resistant to ampicillin can be reported resistant. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Amoxicillin-clavulanic acid iv",NA,"8","8","[4] For susceptibility testing purposes, the concentration of clavulanic acid is fixed at 2 mg/L. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Amoxicillin-clavulanic acid iv","20/10 mcg","19","19","[A] Ignore growth that may appear as a thin inner zone on some batches of Mueller-Hinton agars. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Amoxicillin-clavulanic acid oral (infections originating from the urinary tract)",NA,"0.001","8","[4] For susceptibility testing purposes, the concentration of clavulanic acid is fixed at 2 mg/L. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Amoxicillin-clavulanic acid oral (infections originating from the urinary tract)","20/10 mcg","50","19","[A] Ignore growth that may appear as a thin inner zone on some batches of Mueller-Hinton agars. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Amoxicillin-clavulanic acid oral (uncomplicated UTI only)",NA,"32","32","[4] For susceptibility testing purposes, the concentration of clavulanic acid is fixed at 2 mg/L. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Amoxicillin-clavulanic acid oral (uncomplicated UTI only)","20/10 mcg","16","16","[A] Ignore growth that may appear as a thin inner zone on some batches of Mueller-Hinton agars. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Amoxicillin-clavulanic acid oral (other indications)",NA,"0.001","8","[3] For information on how to use breakpoints in brackets, see https://www.eucast.org/eucastguidancedocuments/. | [4] For susceptibility testing purposes, the concentration of clavulanic acid is fixed at 2 mg/L. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Amoxicillin-clavulanic acid oral (other indications)","20/10 mcg","50","19","[A] Ignore growth that may appear as a thin inner zone on some batches of Mueller-Hinton agars. | [D] For information on how to use breakpoints in brackets, see https://www.eucast.org/eucastguidancedocuments/. | [1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Piperacillin",NA,"8","8",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Piperacillin","30 mcg","20","20",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Piperacillin-tazobactam",NA,"8","8","[5] For susceptibility testing purposes, the concentration of tazobactam is fixed at 4 mg/L.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Piperacillin-tazobactam","30/6 mcg","20","20",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Ticarcillin-clavulanic acid",NA,"8","16","[4] For susceptibility testing purposes, the concentration of clavulanic acid is fixed at 2 mg/L.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Ticarcillin-clavulanic acid","75/10 mcg","23","20",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"E. coli, Klebsiella spp. (except K. aerogenes) and P. mirabilis",NA,"Temocillin (infections originating from the urinary tract)",NA,"0.001","16",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"E. coli, Klebsiella spp. (except K. aerogenes) and P. mirabilis",NA,"Temocillin (infections originating from the urinary tract)","30 mcg","50","17","[F] Ignore isolated colonies within the inhibition zone.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"E. coli, Citrobacter spp., Klebsiella spp., Raoultella spp., Enterobacter spp. and P. mirabilis",NA,"Mecillinam oral (pivmecillinam) (uncomplicated UTI only)",NA,"8","8","[6] Agar dilution is the reference method for mecillinam MIC determination.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"E. coli, Citrobacter spp., Klebsiella spp., Raoultella spp., Enterobacter spp. and P. mirabilis",NA,"Mecillinam oral (pivmecillinam) (uncomplicated UTI only)","10 mcg","15","15","[F] Ignore isolated colonies within the inhibition zone.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Cefaclor (uncomplicated UTI only)",NA,"IE","IE",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Cefaclor (uncomplicated UTI only)",NA,"IE","IE",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Cefadroxil (uncomplicated UTI only)",NA,"16","16",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Cefadroxil (uncomplicated UTI only)","30 mcg","12","12",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Cefalexin (uncomplicated UTI only)",NA,"16","16",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Cefalexin (uncomplicated UTI only)","30 mcg","14","14",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"E. coli and Klebsiella spp.(except K. aerogenes)",NA,"Cefazolin (infections originating from the urinary tract)",NA,"0.001","4","[2] Isolates susceptible to cefadroxil and/or cefalexin can be reported ""susceptible, increased exposure” (I) to cefazolin.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"E. coli and Klebsiella spp.(except K. aerogenes)",NA,"Cefazolin (infections originating from the urinary tract)","30 mcg","50","20","[A] Isolates susceptible to cefadroxil and/or cefalexin can be reported ""susceptible, increased exposure” (I) to cefazolin.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Cefepime",NA,"1","4",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Cefepime","30 mcg","27","24",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Cefepime-enmetazobactam",NA,"4","4","[3] For susceptibility testing purposes, the concentration of enmetazobactam is fixed at 8 mg/L.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Cefepime-enmetazobactam","30/20 mcg","22","22",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Cefiderocol",NA,"2","2","[4] Broth microdilution MIC determination must be performed in iron-depleted Mueller-Hinton broth and specific reading instructions must be followed. For testing conditions and reading instructions, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Cefiderocol","30 mcg","23","23",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Cefixime (uncomplicated UTI only)",NA,"1","1",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Cefixime (uncomplicated UTI only)","5 mcg","17","17",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Cefotaxime (indications other than meningitis)",NA,"1","2",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Cefotaxime (indications other than meningitis)","5 mcg","20","17",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Cefotaxime (meningitis)",NA,"1","1",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Cefotaxime (meningitis)","5 mcg","20","20",NA,"Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Cefoxitin (screen only)",NA,"Note","Note","[5] The cefoxitin cut-off value (8 mg/L) has a high sensitivity but poor specificity for identification of AmpC-producing Enterobacterales as this agent is also affected by permeability alterations and some carbapenemases. Classical non-AmpC producers are wild type, whereas plasmid AmpC producers or chromosomal AmpC hyperproducers are non-wild type.","Enterobacterales"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","DISK",NA,"Enterobacterales",NA,"Cefoxitin (screen only)","30 mcg","19","19","[5] The cefoxitin cut-off value (8 mg/L) has a high sensitivity but poor specificity for identification of AmpC-producing Enterobacterales as this agent is also affected by permeability alterations and some carbapenemases. Classical non-AmpC producers are wild type, whereas plasmid AmpC producers or chromosomal AmpC hyperproducers are non-wild type.","Enterobacterales"
