"code"	"mo"
"ACOSPP"	"B_ACTNBC"
"ACOTEM"	"B_ACDVR_TMPR"
"ACP"	"B_ACHLP"
"ACPSPP"	"B_ACHLP"
"ACR"	"F_ACRMN"
"ACR.SP"	"F_ACRMN"
"ACRCHA"	"F_ACRMN_CHRT"
"ACRSPP"	"F_ACRMN"
"ACS"	"AN_ANGST_CNTN"
"ACT"	"B_AMYCS"
"ACT.SP"	"B_ACTNB"
"ACTDEN"	"B_AMYCS_DNTL"
"ACTEUR"	"B_GLEIM_EURP"
"ACTFUN"	"B_SCHAL_FUNK"
"ACTGEO"	"B_AMYCS"
"ACTGER"	"B_AMYCS"
"ACTGRA"	"B_AMYCS_GRVN"
"ACTISP"	"B_ATGNM"
"ACTISR"	"B_AMYCS_ISRL"
"ACTMEY"	"B_SCHAL_MEYR"
"ACTNAE"	"B_AMYCS_NSLN"
"ACTNEU"	"B_WINKI_NEUI"
"ACTODO"	"B_SCHAL_ODNT"
"ACTORI"	"B_AMYCS_ORIS"
"ACTPYO"	"B_TRPRL_PYGN"
"ACTRAD"	"B_SCHAL_RDNG"
"ACTSCH"	"B_ATGNM_SCHL"
"ACTSPP"	"B_AMYCS"
"ACTTUR"	"B_SCHAL_TRCN"
"ACTURO"	"B_AMYCS_URGN"
"ACTVIS"	"B_AMYCS_VSCS"
"ACU"	"AN_ANCYL_CNNM"
"ACUAPP"	"B_ATGNM"
"ACUSCH"	"B_ATGNM_SCHL"
"ACUSPP"	"B_ATGNM"
"ACUURI"	"B_ATGNM_URNL"
"ACV"	"B_AERMN_CAVI"
"ACVSPP"	"B_ACDVR"
"ACX"	"B_ACDVR"
"ACXSPP"	"B_ACDVR"
"ACY"	"B_ARCBC_CRYR"
"ACZ"	"B_ACNTB_BRZN"
"ADE"	"B_ACHRMB_DNTR"
"ADF"	"B_ACDVR_DLFL"
"ADH"	"B_AERMN_DHKN"
"ADI"	"B_ACNTB_DJKS"
"ADU"	"AN_ANCYL"
"ADUSPP"	"AN_ANCYL"
"AEC"	"B_AERCC"
"AEC.SP"	"B_AERCC"
"AECPYO"	"B_AERCC"
"AECSAN"	"B_AERCC"
"AECSPP"	"B_AERCC"
"AECURI"	"B_AERCC_URIN"
"AECVIR"	"B_AERCC_VRDN"
"AEE"	"B_ESCHR_COLI"
"AEH"	"B_AERMN_HYDR"
"AEM"	"B_AERMN"
"AEM.SP"	"B_AERMN"
"AEMCAV"	"B_AERMN_CAVI"
"AEMENT"	"B_AERMN_ENTR"
